FID,RDNAME,RDNAME2,HWY_NUM,AADTT16,VOG_WGT,VOG16,SHAPE_Length
12326,Highway 401 E,Macdonald-Cartier Fwy E,401,10672,77087481,311084000,0.00355753223751564
12327,Highway 401 Expy,Macdonald-Cartier Fwy W,401,12034,62878183,265968000,0.0300909271618923
12328,Highway 401 Collector,Macdonald-Cartier Fwy W,401,9201,56610356,213508000,0.0171503473718466
12329,Highway 401 Expy,Macdonald-Cartier Fwy W,401,9201,56610356,213508000,0.0110233915930425
12330,Highway 401 Collector,Macdonald-Cartier Fwy W,401,9201,56610356,213508000,0.00547061877935541
12331,Highway 401 E,Macdonald-Cartier Fwy E,401,8571,71572516,343528000,0.00963756517933381
12332,Highway 6 S,King's Highway 401 E,401,10116,79629128,327904000,0.0440007576390758
12333,Highway 401 E,Macdonald-Cartier Fwy E,401,6999,55134274,194873000,0.0050972431345624
12334,Highway 401 W,Macdonald-Cartier Fwy W,401,15439,64295834,235037000,0.00795948769209094
12335,Tc Hwy W,King's Highway 417 W,417,5098,9786614,48580000,0.00336620155206773
12336,Highway 401 E,Macdonald-Cartier Fwy E,401,8407,66747631,338591000,0.00958153496208129
12337,Highway 402 E, ,402,2894,26393730,123235000,0.121823646420173
12338,Highway 6 S,Hanlon Expy,6,1553,7495497,35130000,0.0222385091704617
12339,Highway 401 W,Macdonald-Cartier Fwy W,401,7186,46947270,194307000,0.00681613133392773
12340,Highway 403 E,Queen Elizabeth Way E,1,8921,62187844,192145000,0.00336162847440915
12341,Highway 401 W,Macdonald-Cartier Fwy W,401,8739,62763552,232450000,0.011110074507492
12342,Highway 401 Expy,Macdonald-Cartier Fwy E,401,18503,88636480,296394000,0.00646981052458894
12343,Highway 401 E,Macdonald-Cartier Fwy E,401,7694,56209099,266804000,0.0156899509113151
12344,Hwy 7, ,7,1716,7247157,20983000,0.00201844455536253
12345,Highway 400 N, ,400,5270,31877694,98718000,0.00914538323196011
12346,Highway 401 Collector,Macdonald-Cartier Fwy E,401,19721,101653211,360153000,0.00609775612344485
12347,Highway 401 Collector,Macdonald-Cartier Fwy W,401,4112,13044093,55365000,0.00923925548243215
12348,Highway 401 Collector,Macdonald-Cartier Fwy E,401,22223,102038549,358758000,0.0041259802282847
12349,Highway 401 Expy,Macdonald-Cartier Fwy W,401,14098,64198165,270237000,0.0332739583957855
12350,Highway 401 Collector,Macdonald-Cartier Fwy E,401,16899,77929605,272355000,0.00435400277094471
12351,Highway 401 Expy,Macdonald-Cartier Fwy E,401,15217,76810174,270230000,0.00687296142399103
12352,Highway 401 Expy,Macdonald-Cartier Fwy W,401,13439,64071015,270056000,0.0101643598444121
12353,Highway 400 S, ,400,4353,28957353,61792000,0.0356062784525016
12354,Highway 400 S, ,400,4217,30120413,63802000,0.0064552183361492
12355,Highway 9, ,9,1093,7334958,9365000,0.00403899897836383
12356,Highway 400 N, ,400,3767,33321354,101839000,0.0210454488768225
12357,Highway 400 N, ,400,3767,33321354,101839000,0.00590049944522415
12358,Highway 401 Collector,Macdonald-Cartier Fwy W,401,12034,62878183,265968000,0.00675778714584559
12359,Highway 401 Collector,Macdonald-Cartier Fwy E,401,15269,76961692,266486000,0.00293593878320205
12360,Highway 401 Collector,Macdonald-Cartier Fwy E,401,12449,68047955,244120000,0.00828863795060875
12361,Highway 401 Expy,Macdonald-Cartier Fwy E,401,12926,68785350,244452000,0.0169372364918588
12362,Highway 401 Collector,Macdonald-Cartier Fwy E,401,12926,68785350,244452000,0.0067611682438273
12363,Highway 6 N,Hanlon Expy,6,1109,4277875,19757000,0.0061407879971147
12364,Highway 401 Collector,Macdonald-Cartier Fwy W,401,10230,56533599,214809000,0.00353097684093425
12365,Highway 401 Collector,Macdonald-Cartier Fwy E,401,11283,67836437,246174000,0.00884246089328931
12366,Highway 401 E,Macdonald-Cartier Fwy E,401,10370,66730178,242567000,0.00869889524031914
12367,Highway 401 W,Macdonald-Cartier Fwy W,401,7989,55934332,207702000,0.00605727381795029
12368,Highway 401 E,Macdonald-Cartier Fwy E,401,8551,65775922,240590000,0.020568813013279
12369,Highway 401 W,Macdonald-Cartier Fwy W,401,5569,46033747,189093000,0.0374022365110884
12370,Highway 401 E,Macdonald-Cartier Fwy E,401,5896,55671108,198430000,0.0337656769908696
12371,Highway 401 Collector,Macdonald-Cartier Fwy W,401,10370,57707319,217971000,0.00846046754390082
12372,Highway 401 W,Macdonald-Cartier Fwy W,401,11456,64476132,235132000,0.005462821904682
12373,Tc Hwy W, ,417,846,5420662,20904000,0.00570063258476416
12374,Tc Hwy, ,417,846,5420662,20904000,0.00291418816980281
12375,Tc Hwy W,King's Highway 417 W,417,6337,8428691,45638000,0.00380907753456909
12376,Tc Hwy E, ,417,4778,10448190,30837000,0.00272420701621721
12377,Tc Hwy E, ,417,5093,10462948,30926000,0.0130132043639312
12378,Tc Hwy E, ,417,4724,9972640,30332000,0.00605583319102782
12379,Highway 401 E,Macdonald-Cartier Fwy E,401,5694,50389170,176193000,0.0560406175588716
12380,Highway 400, ,400,843,10077327,43170000,0.00694454882158223
12381,Highway 401 E,Macdonald-Cartier Fwy E,401,13083,80863074,293213000,0.00788725009224782
12382,Highway 401 E,Macdonald-Cartier Fwy E,401,11350,81476173,290396000,0.0102231871244699
12383,Highway 401 W,Macdonald-Cartier Fwy W,401,11674,63917670,231121000,0.00683187346250442
12384,Highway 401 E,Macdonald-Cartier Fwy E,401,13083,80863074,293213000,0.0260397282701027
12385,Highway 402 E, ,402,3128,26908520,122027000,0.0199329297639996
12386,Highway 401 Expy,Macdonald-Cartier Fwy W,401,12025,63055914,268298000,0.0294345311001335
12387,Highway 401 E,Macdonald-Cartier Fwy E,401,16517,80351792,282685000,0.00213349648680142
12388,Highway 401 Collector,Macdonald-Cartier Fwy E,401,14330,68602959,245870000,0.00913816889336169
12389,Hurontario St,Highway 10,10,184,2523339,11509000,0.00115187384416291
12390,Highway 401 Collector,Macdonald-Cartier Fwy E,401,18198,80335030,284787000,0.0121659996460454
12391,Highway 427 S, ,427,8021,19860040,82609000,0.0154676676353029
12392,Highway 401 Expy,Macdonald-Cartier Fwy W,401,16660,74568747,248742000,0.00621308184074564
12393,Highway 401 Collector,Macdonald-Cartier Fwy E,401,14954,75578722,267937000,0.00564313503755256
12394,Highway 401 E,Macdonald-Cartier Fwy E,401,10672,77087481,311084000,0.0046075495046565
12395,Highway 401 W,Macdonald-Cartier Fwy W,401,13493,64189240,233547000,0.00945968112358169
12396,Highway 401 Collector,Macdonald-Cartier Fwy E,401,15269,76961692,266486000,0.00717282242296253
12397,Highway 401 Collector,Macdonald-Cartier Fwy W,401,9951,56848959,213711000,0.00591331203429658
12398,Highway 401, ,401,12070,58591100,220646000,0.00859938951756925
12399,Highway 401 Collector,Macdonald-Cartier Fwy E,401,11560,68147073,244844000,0.00254134857545062
12400,Highway 401 Collector,Macdonald-Cartier Fwy W,401,9057,56598624,213818000,0.0165465246617501
12401,Highway 401 Collector,Macdonald-Cartier Fwy W,401,9196,56610356,213508000,0.0063366978333396
12402,Highway 401 Collector,Macdonald-Cartier Fwy E,401,11283,67836437,246174000,0.00413024720681169
12403,Highway 401 Collector,Macdonald-Cartier Fwy W,401,14117,64304092,270963000,0.00585478681348768
12404,Highway 401 Collector,Macdonald-Cartier Fwy E,401,19421,77137735,270394000,0.00834454796074626
12405,Highway 401 W,Macdonald-Cartier Fwy W,401,6051,45774801,186231000,0.00377355187342885
12406,Highway 400 S, ,400,4217,30120413,63802000,0.0185305998184801
12407,Regional Road 7 W, ,7,0,0,0,0.00884148587357698
12408,Highway 403 E,Queen Elizabeth Way E,1,8921,62187844,192145000,0.0108163834469752
12409,Highway 401 W,Macdonald-Cartier Fwy W,401,7360,61384931,231090000,0.0801846623022527
12410,Highway 410 N, ,410,9643,43092681,141089000,0.00660100803126319
12411,Highway 401 Collector,Macdonald-Cartier Fwy E,401,14954,75578722,267937000,0.0150593976089579
12412,Highway 401 E,Macdonald-Cartier Fwy E,401,7886,72810574,343814000,0.031963380059172
12413,Highway 401 Collector,Macdonald-Cartier Fwy E,401,14526,75653371,268128000,0.00598480789086189
12414,Highway 401 Collector,Macdonald-Cartier Fwy E,401,22223,102038549,358758000,0.00337127978736715
12415,Tc Hwy W,King's Highway 417 W,417,6337,8428691,45638000,0.00694680649416634
12416,HIGHWAY 401 TO HIGHWAY 401 COLLECTOR, ,401,15217,76810174,270230000,0.00638548171649507
12417,Highway 401 Collector,Macdonald-Cartier Fwy E,401,15217,76810174,270230000,0.00235225587453211
12418,Exit 365, ,401,12783,63924471,270184000,0.00445502227755374
12419,Highway 401 Expy,Macdonald-Cartier Fwy W,401,12783,63924471,270184000,0.0090035434802295
12420,Highway 401 Expy,Macdonald-Cartier Fwy E,401,14370,69337344,248253000,0.00734855811202422
12421,HIGHWAY 401 TO HIGHWAY 401 COLLECTOR, ,401,14526,75653371,268128000,0.00653861852474782
12422,Highway 401 Collector,Macdonald-Cartier Fwy W,401,12034,62878183,265968000,0.00651914003804732
